HOSTS ID,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Insect Author,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,Location,Damage,Lab Rearing
49733,Micropterigidae,Sabatinca,incongruella,,Walker,Hepaticae,,,,New Zealand,on liverwort,
109228,Pyralidae,Scoparia,diphtheralis,,Walker,Gramineae,,,,New Zealand,on pastures,
109229,Pyralidae,Scoparia,halopis,,Meyrick,Gramineae,,,,New Zealand,on pastures,
91557,Oecophoridae,Thylacosceles,acridomima,,Meyrick,Filicopsida,,,,New Zealand,,
91559,Oecophoridae,Thylacosceles,radians,,Philpott,Filicopsida,,,,New Zealand,,
138577,Tortricidae,Tortrix,molybditis,,Meyrick,Musci,,,,New Zealand,in case on moss,
29858,Hepialidae,Wiseana,cervinata,,Walker,Gramineae,,,,New Zealand,,
29859,Hepialidae,Wiseana,cervinata,,Walker,Leguminosae,,,,New Zealand,,
29861,Hepialidae,Wiseana,cervinata,,Walker,Gramineae,,,,New Zealand,on grasses,
29862,Hepialidae,Wiseana,cervinata,,Walker,Gramineae,,,,New Zealand,on pastures,
29863,Hepialidae,Wiseana,jocosa,,Meyrick,Gramineae,,,,New Zealand,on pastures,
29864,Hepialidae,Wiseana,signata,,Walker,Polyphagous,,,,New Zealand,on dune grasslands,
29865,Hepialidae,Wiseana,signata,,Walker,Gramineae,,,,New Zealand,on pastures,
29866,Hepialidae,Wiseana,umbraculatus,,Guenée,Gramineae,,,,New Zealand,on pastures,
140127,Yponomeutidae,Zelleria,rorida,,Philpott,Viscaceae,,,,New Zealand,,
140129,Yponomeutidae,Zelleria,sphenota,,Meyrick,Viscaceae,,,,New Zealand,,
25182,Geometridae,Zermizinga,indocilisaria,,Walker,Polyphagous,,,,New Zealand,on conifers,
59122,Noctuidae,Dasypodia,cymatodes,,Guenée,Leguminosae (M),Acacia,,,New Zealand,on leaves/pods/seeds,
59124,Noctuidae,Dasypodia,selenophora,,Guenée,Leguminosae (M),Acacia,,,New Zealand,on leaves/pods/seeds,
61592,Noctuidae,Graphania,nullifera,,Walker,Umbelliferae,Aciphylla,squarrosa,,New Zealand,,
27242,Gracillariidae,Macarostola,formosa,,Stainton,Myrtaceae,Acmena,smithii,,New Zealand,,
129776,Tortricidae,Cnephasia,jactatana,,Walker,Actinidiaceae,Actinidia,chinensis,,New Zealand,,
130525,Tortricidae,Ctenopseustis,obliquana,,Walker,Actinidiaceae,Actinidia,deliciosa,,New Zealand,,
