HOSTS ID,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Insect Author,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,Location,Damage,Lab Rearing
73436,Noctuidae,Tripseuxoa,strigata,,Hampson,Solanaceae,Solanum,tuberosum,,Uruguay,,
87257,Nymphalidae,Opsiphanes,quiteria,,Stoll,Palmae,Syagrus,romanzoffianum,,Argentina,,
105754,Pyralidae,Laetilia,melanostathma,,Meyrick,Insecta,Tachardiella (Z),argentina,,Argentina,on scale insects,
128619,Tortricidae,Bonagota,cranaodes/salubricol,,,Taxodiaceae,Taxodium,distichum,,Argentina,,
85122,Nymphalidae,Junonia,evarete,,Cramer,Acanthaceae,Thunbergia,alata,,Argentina,,
82149,Nymphalidae,Diaethria,clymena,,Cramer,Ulmaceae,Trema,micranthum,,Argentina,,
84397,Nymphalidae,Historis,odius,,Fabricius,Ulmaceae,Trema,micranthum,,Argentina,,
129382,Tortricidae,Clarkeulia,nr. virga,,Clarke,Leguminosae (P),Trifolium,repens,,Uruguay,,
53459,Noctuidae,Agrotis,gypaetina,,Guenée,Gramineae,Triticum,,,Argentina,,
73437,Noctuidae,Tripseuxoa,strigata,,Hampson,Gramineae,Triticum,,,Uruguay,,
98533,Psychidae,Oiketicus,moyanoi,,Bahamondes,Ulmaceae,Ulmus,,,Argentina,,
98544,Psychidae,Oiketicus,platensis,,Berg,Ulmaceae,Ulmus,americana,,Argentina,,
84398,Nymphalidae,Historis,odius,,Fabricius,Urticaceae,Urtica,spathulata,,Argentina,,
83905,Nymphalidae,Haematera,pyramus,,Hübner,Sapindaceae,Urvillea,ulmacea,,Argentina,,
87305,Nymphalidae,Ortilia,liriope,,Cramer,Scrophulariaceae,Verbascum,blattaria,,Argentina,,
87307,Nymphalidae,Ortilia,liriope,,Cramer,Verbenaceae,Verbena,bonariensis,,Argentina,,
81176,Nymphalidae,Chlosyne,lacinia,,Geyer,Compositae,Viguiera,,,Argentina,,
98545,Psychidae,Oiketicus,platensis,,Berg,Apocynaceae,Vinca,minor,,Argentina,,
84795,Nymphalidae,Issoria,cytheris,,Drury,Violaceae,Viola,,,Argentina,,
128620,Tortricidae,Bonagota,cranaodes/salubricol,,,Vitaceae,Vitis,vinifera,,Argentina,,
81186,Nymphalidae,Chlosyne,lacinia,,Geyer,Compositae,Wedelia,glauca,,Argentina,,
89378,Nymphalidae,Vanessa,carye,,Hübner,Compositae,Wedelia,glauca,,Argentina,,
73440,Noctuidae,Tripseuxoa,strigata,,Hampson,Gramineae,Zea,mays,,Uruguay,,
